"most_recent_classification","tot_rand","within_5min","between_5_and_60min","more_than_60min","pct_within_5min","pct_between_5_and_60min","pct_more_than_60min"
"active",26,20,1,5,76.9230769230769,3.84615384615385,19.2307692307692
"no",5178,4947,213,18,95.5388180764774,4.1135573580533,0.347624565469293
"yes",301,296,2,3,98.3388704318937,0.664451827242525,0.996677740863787
"total",5505,5263,216,26,95.6039963669391,3.92370572207084,0.472297910990009
