"avail_aleph","most_recent_classification","tot","q0","q10","q50","q90","q100"
1,"no",4510,1.3120247578172e-05,0.0383730993650786,0.0909916891421449,0.147339812033811,0.986414041922825
1,"yes",295,0.0229355824138149,0.209488683074996,0.809702200783222,0.95,0.95
,,4805,,,,,
