"isStress","most_recent_classification","tot","min_secs","max_secs"
1,"yes",282,1.15599989891052,234.786999940872
0,"no",4509,0.967999935150146,244.895999908447
1,"no",1,2.16300010681152,2.16300010681152
0,"yes",13,1.63299989700317,4.86700010299683
